Module Name* (in netlist),Type,synopsys memory type,config boundary reference,Word Number,Bit Number,Bit-write,Memory C-Q delay ,Max Operating Freq.  ,power_gating,Mux Number,Bank,center_decode,periphery_vt,redundancy,2-cycle latency,Instance Name ,Number,BitsCount,Summary
HEVC_RF_1P_48X36,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,48,36,FALSE, , ,FALSE,1,1,FALSE,HIGH,FALSE,,u_blk_spreg48x36,1,1728,
HEVC_RF_1P_48X80,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,48,80,FALSE, , ,FALSE,1,1,FALSE,HIGH,FALSE,,u_blk_spreg48x80,1,3840,
HEVC_RF_1P_512X32,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,512,32,FALSE, , ,FALSE,4,1,FALSE,HIGH,FALSE,,u_blk_spreg512x32,1,16384,
HEVC_RF_1P_512X160,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,512,60,FALSE,,,FLASE,2,2,FALSE,HIGH,FALSE,,,1,30720,
HEVC_RF_1P_512X64B1,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,512,64,TRUE, , ,FALSE,4,1,TRUE,HIGH,FALSE,,u_blk_spreg512x64B1_e8,2,65536,
HEVC_RF_1P_64X128,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,64,128,FALSE, , ,FALSE,1,1,TRUE,HIGH,FALSE,,u_blk_spreg64x128,1,8192,
HEVC_RF_1P_64X128B1,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,64,128,TRUE, , ,FALSE,1,1,FALSE,HIGH,FALSE,,u_blk_spreg64x128B1_e32/u_blk_spreg64x128B1_e64,1,8192,
HEVC_RF_1P_64X42B1,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,64,42,TRUE, , ,FALSE,2,1,FALSE,HIGH,FALSE,,u_blk_spreg64x42B1_e1,2,5376,
HEVC_RF_1P_64X80B1,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,64,80,TRUE, , ,FALSE,1,1,FALSE,HIGH,FALSE,,u_blk_spreg64x80B1_e10,1,5120,
HEVC_RF_1P_72X40,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,72,40,FALSE, , ,FALSE,1,1,FALSE,HIGH,FALSE,,u_blk_spreg72x40,1,2880,
HEVC_RF_1P_72X64,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,72,64,FALSE, , ,FALSE,1,1,FALSE,HIGH,FALSE,,u_blk_spreg72x64,2,9216,
HEVC_RF_1P_72X80,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,72,80,FALSE, , ,FALSE,1,1,FALSE,HIGH,FALSE,,u_blk_spreg72x80,1,5760,
